qm9_id,split
6233,train
106459,train
37009,train
29859,test
33387,train
55738,train
10785,train
3540,train
62575,train
4562,train
98161,val
76733,train
4431,test
103758,test
128887,train
8356,test
4952,train
89383,test
68092,train
52087,test
52594,train
878,train
129076,train
128085,train
24323,train
108250,train
45844,val
73862,train
98524,val
99937,train
63746,train
48575,train
13,train
73299,train
33717,train
14794,train
58765,train
3489,train
85972,train
797,train
9831,train
17690,train
36945,train
125824,train
64818,test
7730,train
52597,test
57501,train
104813,train
74398,train
7353,train
12532,train
8743,train
10268,train
2730,train
121830,train
99029,train
36951,train
46288,train
84360,train
113,train
28906,train
18127,train
117488,train
52462,train
53982,train
131291,train
6770,train
17263,val
133534,train
2124,train
75030,train
38289,train
7149,train
118672,train
23761,val
5891,train
47710,train
48216,train
20238,train
8496,train
27347,train
521,train
2688,train
57496,train
24562,test
180,val
62473,val
86056,train
97666,test
48576,test
2859,train
108787,train
40905,train
36968,train
62900,train
43420,val
117715,train
116294,train
658,train
19746,test
48120,train
19203,test
65027,train
124608,train
99022,train
35146,train
123198,train
5863,train
72545,train
128857,train
362,train
2616,train
25376,train
59262,val
59778,train
778,train
24702,train
122715,train
123866,train
3975,train
98201,train
125542,train
86469,train
18936,train
1037,train
57312,train
124202,test
48117,test
5860,train
22081,train
829,test
57682,val
123072,train
68072,train
33399,train
57411,train
63806,train
5913,train
37326,train
26510,train
21863,train
5675,train
39697,train
13917,train
53114,train
98223,train
106833,train
26465,test
29792,train
26475,train
8341,train
76458,test
44055,test
26097,train
62898,train
8510,train
133697,train
58428,train
48028,train
120846,val
89713,train
19115,test
21756,train
117270,train
52460,train
58414,train
133482,train
9823,train
8603,val
20109,train
68182,test
5982,test
1303,train
317,test
7335,test
57803,train
65485,train
86475,train
26151,val
106333,test
284,train
3484,val
39632,train
10061,train
133783,train
63510,train
37659,train
89712,train
17908,val
6004,train
24703,train
15262,train
38348,test
17710,train
124527,train
57351,train
14571,train
24324,train
102378,train
99018,train
5799,train
106158,val
62858,train
454,train
53934,train
131723,train
3538,train
102346,train
38300,train
74272,train
34586,train
51231,train
50161,train
32577,train
99967,train
37580,train
256,train
21028,train
128631,train
24682,train
86544,train
23864,train
42185,train
27893,train
78513,train
70821,train
10701,test
46187,train
3257,train
49365,val
11084,train
2554,train
57742,val
7059,train
33389,train
76353,train
63511,train
63729,train
57416,train
23047,test
118641,train
15025,test
6232,train
6260,train
121520,train
116686,train
67726,train
4954,train
64483,train
43440,test
124513,test
67617,train
110105,train
655,train
99010,train
77487,train
77698,train
41944,train
76401,val
32530,train
62795,train
2214,test
121799,train
71893,train
8344,train
26375,train
104,train
68292,train
37011,train
31558,train
93697,train
57270,train
57505,train
14631,train
63413,train
117038,test
7078,train
126602,train
41875,val
115498,train
100074,train
122836,val
117202,train
23615,train
74772,train
123313,train
26374,test
5106,train
57352,train
26112,train
12421,train
7013,train
54382,train
52602,train
5922,train
2082,train
42054,train
121732,train
41223,val
24839,train
37065,train
7133,train
21093,train
17798,val
41679,train
121805,train
65078,train
20332,train
124840,train
39756,train
68033,train
43255,val
26360,train
84292,train
53789,train
97537,train
5303,test
3993,train
122809,train
81340,train
659,train
63280,train
105533,train
59194,val
21769,val
2441,train
1095,test
59005,train
985,train
121834,train
98530,train
8323,train
77932,train
124598,train
6437,val
8508,train
19205,train
124543,train
33432,train
1232,train
62508,test
121731,val
41956,val
56345,train
72679,val
124481,train
19158,train
278,train
122049,train
68376,train
68040,train
57226,train
775,test
99943,train
6178,train
41393,train
99030,train
124613,train
3734,train
54311,train
124510,train
33431,train
10739,train
1118,train
57495,train
106332,train
1099,train
78293,train
40,train
62472,train
24564,test
1607,train
18984,val
108942,train
123265,train
7046,train
102374,val
124317,train
65914,train
100084,train
62925,train
133809,train
4072,train
8361,train
17953,test
133740,train
42182,train
14739,test
65885,train
57414,test
6601,train
118573,train
6148,train
72649,train
10253,train
57515,train
7693,train
5932,train
8326,test
39964,train
98398,train
72031,train
124540,train
58579,val
288,train
14273,train
24108,train
2723,train
38337,val
1102,train
45843,train
22385,train
